trun,tech,sector,value,scenario
2015,SWRO,WA,21.888633449521247,A
2016,GT,EL,79.00621456260357,A
2017,GT,EL,384.5217329039412,A
2018,GT,EL,1096.8266447413996,A
2019,GT,EL,35.36792304665764,A
2020,GT,EL,1577.4886783991756,A
2020,GTtoCC,EL,682.12036,A
2021,Steam,EL,494.11521654767176,A
2021,SWRO,WA,51.59707701001256,A
2021,CCCoVMSF,WA,822.7807488794923,A
2022,CC,EL,365.60994336815725,A
2023,CC,EL,511.8539207154817,A
2024,CC,EL,511.8539207154843,A
2024,CCCoVMSF,WA,94.52136840470976,A
2025,CC,EL,511.85392071546255,A
2025,CCCoVMSF,WA,143.127612534617,A
2026,CC,EL,511.8539207154643,A
2026,CCCoVMSF,WA,143.12761207544935,A
2027,Steam,EL,9.905444253723153e-05,A
2027,CC,EL,1745.9169144891382,A
2027,CoalSteam,EL,0.0007907326401072256,A
2027,CCCoVMSF,WA,163.5744138651635,A
2028,CC,EL,6477.273243992467,A
2028,CCCoVMSF,WA,163.57441386519466,A
2029,CC,EL,6076.4531628410405,A
2029,CCCoVMSF,WA,184.02121559821498,A
2030,CC,EL,6078.755494930315,A
2030,CCCoVMSF,WA,184.02121559803666,A
2015,SWRO,WA,21.888633449521247,B
2016,GT,EL,79.00621456260357,B
2017,GT,EL,384.5217329039412,B
2018,GT,EL,1096.8266447413996,B
2019,GT,EL,35.367923046528226,B
2020,GT,EL,1671.9406078085112,B
2020,GTtoCC,EL,682.12036,B
2020,SWRO,WA,145.06464339455238,B
2021,Steam,EL,1158.4895001334482,B
2021,SWRO,WA,104.45612213642588,B
2021,CCCoVMSF,WA,1184.5346662595275,B
2022,CC,EL,882.2865261492367,B
2022,SWRO,WA,77.70961586274792,B
2023,CC,EL,444.6372225450754,B
2023,SWRO,WA,40.653330280159466,B
2024,CC,EL,394.7988685731425,B
2024,CCCoVMSF,WA,41.27313251365847,B
2025,CC,EL,3949.2828910505878,B
2025,Nuclear,EL,16352.894924361264,B
2026,CC,EL,5341.561250117975,B
2027,CC,EL,5000.181907870569,B
2027,Nuclear,EL,4711.895700874441,B
2028,CC,EL,8767.013086492221,B
2028,Nuclear,EL,432.77329745514635,B
2029,CC,EL,9375.85610106666,B
2029,Nuclear,EL,5501.7289210573645,B
2030,CC,EL,5835.401886492321,B
2030,Nuclear,EL,713.6050912249146,B
2030,PV,EL,27368.140106879895,B
2030,SWRO,WA,2.3532311391232215,B
2030,CCCoVMSF,WA,38.84239537980646,B
2015,SWRO,WA,21.888633449521247,C
2016,GT,EL,79.00621456260357,C
2017,GT,EL,384.5217329039412,C
2018,GT,EL,1096.8266447413996,C
2019,GT,EL,23.023036966509085,C
2025,GTtoCC,EL,2.134470561037143,C
2026,CC,EL,480.29828281902223,C
2026,GTtoCC,EL,13.808029438962858,C
2027,CC,EL,584.9759093946361,C
2027,CoalSteam,EL,440.1718854099846,C
2028,CC,EL,4259.223375091906,C
2028,GTtoCC,EL,653.3692,C
2028,CoalSteam,EL,1710.0249986849253,C
2029,CC,EL,5667.7491511789185,C
2029,GTtoCC,EL,12.80866,C
2029,CoalSteam,EL,1923.7781201851867,C
2030,CC,EL,6814.281609633517,C
2030,CoalSteam,EL,1923.778120258548,C
2015,SWRO,WA,21.888633449521247,D
2016,GT,EL,79.00621456260357,D
2017,GT,EL,384.5217329039412,D
2018,GT,EL,1096.8266447413996,D
2019,GT,EL,23.023036966308723,D
2020,GTtoCC,EL,682.12036,D
2020,SWRO,WA,148.7661483889949,D
2021,SWRO,WA,86.5236630022662,D
2021,CCCoVMSF,WA,977.0094513989275,D
2022,CC,EL,414.236847089855,D
2022,SWRO,WA,77.7096157532191,D
2023,CC,EL,323.63890085450896,D
2023,SWRO,WA,40.6533303902814,D
2024,CC,EL,946.0239954735852,D
2024,CCCoVMSF,WA,41.27313251204175,D
2025,CC,EL,3205.9415268432895,D
2025,Nuclear,EL,9215.287982013935,D
2026,CC,EL,5226.11628101955,D
2027,CC,EL,5727.697758597363,D
2027,Nuclear,EL,4711.89570404295,D
2028,CC,EL,7345.760957451754,D
2028,Nuclear,EL,532.1581781522591,D
2029,CC,EL,11545.68014182563,D
2029,Nuclear,EL,5526.217570645421,D
2029,CCCoVMSF,WA,31.630296570687598,D
2030,CC,EL,6064.2217914817875,D
2030,Nuclear,EL,2510.733140602867,D
2030,PV,EL,26976.047651698045,D
2030,SWRO,WA,2.3532313509289384,D
2030,CCCoVMSF,WA,126.57316736266698,D
2015,SWRO,WA,21.888633449521247,E
2016,GT,EL,79.00621456260357,E
2017,GT,EL,384.5217329039412,E
2018,GT,EL,1096.8266447413996,E
2019,GT,EL,14204.599647921073,E
2019,SWRO,WA,220.01451652362587,E
2020,GT,EL,1813.5201159783428,E
2020,GTtoCC,EL,682.12036,E
2021,Steam,EL,2228.850570544253,E
2021,GT,EL,939.9837558381483,E
2021,PV,EL,136475.5364221693,E
2021,SWRO,WA,298.74206860227923,E
2021,CCCoVMSF,WA,1686.1996495477229,E
2022,CC,EL,19667.811187420917,E
2022,PV,EL,97.22657675566057,E
2022,SWRO,WA,96.92923561365943,E
2023,CC,EL,2211.7201118248972,E
2023,CoalSteam,EL,14121.926936919159,E
2024,CC,EL,3609.791743293199,E
2024,CoalSteam,EL,1239.0869160008592,E
2025,CC,EL,3301.1487589989006,E
2025,CoalSteam,EL,1287.4128549901136,E
2026,CC,EL,4708.921708933179,E
2026,CoalSteam,EL,1244.6793743675676,E
2027,CC,EL,5446.753392801217,E
2027,CoalSteam,EL,1595.320678369748,E
2028,CC,EL,4469.035017062877,E
2028,CoalSteam,EL,1667.0418648719701,E
2029,CC,EL,4156.368326857467,E
2029,CoalSteam,EL,1738.2371531398944,E
2030,CC,EL,3665.8402778545174,E
2030,CoalSteam,EL,1697.4686499758889,E
2015,SWRO,WA,21.888633449521247,F
2016,GT,EL,79.00621456260357,F
2017,GT,EL,384.5217329039412,F
2018,GT,EL,1096.8266447413996,F
2019,GT,EL,14204.599645510472,F
2019,SWRO,WA,221.54595171975043,F
2020,GT,EL,1813.5201159462313,F
2020,GTtoCC,EL,682.12036,F
2020,SWRO,WA,2.1700699199750404,F
2021,Steam,EL,2793.2345438920033,F
2021,GT,EL,1018.4834174460765,F
2021,PV,EL,145346.53581276606,F
2021,SWRO,WA,336.1927694550562,F
2021,CCCoVMSF,WA,1920.2526697522753,F
2022,CC,EL,20288.408917653083,F
2022,PV,EL,109.85490104781402,F
2022,SWRO,WA,92.91347373829385,F
2023,CC,EL,4658.014295023674,F
2023,CoalSteam,EL,2451.5347239048187,F
2023,PV,EL,108.3314554618531,F
2024,GT,EL,5.6307983927575975,F
2024,CC,EL,5092.138316172188,F
2024,PV,EL,178.84823612205793,F
2025,CC,EL,5597.248798310819,F
2025,Nuclear,EL,6100.059438893932,F
2025,PV,EL,110.46224603681218,F
2026,CC,EL,6598.255959883436,F
2026,Nuclear,EL,6825.361909607131,F
2026,PV,EL,4790.509954951971,F
2027,CC,EL,6412.031891060852,F
2027,Nuclear,EL,11476.084285089448,F
2028,CC,EL,5680.271522273921,F
2028,Nuclear,EL,10109.559779297642,F
2029,CC,EL,4649.6632250959665,F
2029,Nuclear,EL,11245.73200193829,F
2030,CC,EL,4906.360802537698,F
2030,Nuclear,EL,11506.082746567146,F
2015,SWRO,WA,21.888633449521247,G
2016,GT,EL,79.00621456260357,G
2017,GT,EL,384.5217329039412,G
2018,GT,EL,1096.8266447413996,G
2019,GT,EL,12813.96708490058,G
2019,SWRO,WA,220.01562455582095,G
2020,GT,EL,1623.6034511790533,G
2020,GTtoCC,EL,682.12036,G
2021,GT,EL,939.9837273246801,G
2021,PV,EL,136165.9394736573,G
2021,SWRO,WA,292.47888761202734,G
2021,CCCoVMSF,WA,1702.4911047366286,G
2022,CC,EL,21411.83934106219,G
2022,PV,EL,101.38782593333787,G
2022,SWRO,WA,103.15582206559776,G
2023,CC,EL,2224.9612852592345,G
2023,CoalSteam,EL,14259.83315294204,G
2024,CC,EL,3589.840639787444,G
2024,CoalSteam,EL,1239.0865098774877,G
2025,CC,EL,3444.0474213654797,G
2025,CoalSteam,EL,1292.7907531475748,G
2026,CC,EL,5184.008833278642,G
2026,CoalSteam,EL,1239.302183611638,G
2027,CC,EL,4384.261509786164,G
2027,CoalSteam,EL,1594.041942731727,G
2028,CC,EL,4193.291871314697,G
2028,CoalSteam,EL,1667.0529889103573,G
2028,CCCoVMED,WA,2.554200597102279e-06,G
2028,CCCoVMSF,WA,8.221889412659104e-06,G
2029,CC,EL,4025.5914944701485,G
2029,CoalSteam,EL,1738.2481505143921,G
2030,CC,EL,4036.9405564754893,G
2030,CoalSteam,EL,1666.2411498463223,G
2015,SWRO,WA,21.888633449521247,H
2016,GT,EL,79.00621456260357,H
2017,GT,EL,384.5217329039412,H
2018,GT,EL,1096.8266447413996,H
2019,GT,EL,11260.734280108418,H
2019,SWRO,WA,206.6844825592563,H
2020,GT,EL,2554.1747731898395,H
2020,GTtoCC,EL,682.12036,H
2021,Steam,EL,4103.636372149378,H
2021,GT,EL,1040.8151996966917,H
2021,PV,EL,160264.88184799015,H
2021,SWRO,WA,326.79039846132343,H
2021,CCCoVMSF,WA,1146.3228476402307,H
2022,CC,EL,21157.946477067664,H
2022,PV,EL,107.65600771961078,H
2022,SWRO,WA,119.34738710279677,H
2023,CC,EL,1776.0827030608075,H
2023,CoalSteam,EL,2380.444509871597,H
2023,PV,EL,57.920906829277286,H
2024,CC,EL,5044.396291972966,H
2024,PV,EL,3749.273539271836,H
2025,CC,EL,5286.947688660095,H
2025,Nuclear,EL,5531.596644224585,H
2025,PV,EL,1282.6198520169044,H
2026,CC,EL,3959.1890575544703,H
2026,Nuclear,EL,9796.499759887065,H
2026,PV,EL,244.35709810500532,H
2027,CC,EL,6230.450418554322,H
2027,Nuclear,EL,11067.101975294543,H
2027,PV,EL,252.1852408181365,H
2028,CC,EL,6656.061877793704,H
2028,Nuclear,EL,11392.30867143677,H
2028,PV,EL,247.572982310486,H
2029,CC,EL,5573.707971056417,H
2029,Nuclear,EL,19494.36989654753,H
2029,PV,EL,247.04218254843383,H
2029,CCCoVMSF,WA,6.978702123434355e-05,H
2030,CC,EL,5486.3780138219145,H
2030,Nuclear,EL,11292.55309257926,H
